No,PLAYER,TEAM,AGE,GP,W,L, MIN ,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
380,Aleksej Pokusevski,OKC,22,1,1,0, 5 ,2,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,-4
380,Chris Livingston,MIL,20,4,2,2, 8 ,2,0.8,1.8,42.9,0,0,0,0.5,0.5,100,0.3,1,1.3,0.3,0.5,0.3,0,0.8,4.1,0,0,-2
380,Gary Payton II,GSW,31,1,1,0, 11 ,2,1,5,20,0,3,0,0,0,0,1,3,4,0,1,0,0,0,5.8,0,0,10
380,JD Davison,BOS,21,1,1,0, 3 ,2,0,0,0,0,0,0,2,2,100,1,0,1,0,0,0,0,0,3.2,0,0,-1
380,Jalen Pickett,DEN,24,1,0,1, 7 ,2,1,3,33.3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,-1
380,Jaxson Hayes,LAL,23,5,2,3, 5 ,2,1,1.4,71.4,0,0.2,0,0,0,0,0.2,0.4,0.6,0.4,0.4,0.2,0.4,1.8,4.7,0,0,-0.8
380,Jordan Miller,LAC,24,1,1,0, 4 ,2,1,2,50,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4.4,0,0,-11
380,Josh Minott,MIN,21,1,1,0, 9 ,2,0,3,0,0,0,0,2,2,100,0,0,0,0,0,1,1,2,8,0,0,-10
380,Lindy Waters III,OKC,26,3,3,0, 6 ,2,0.7,2,33.3,0.7,1.7,40,0,0,0,0,0.7,0.7,1,0.3,0,0.3,0.7,5,0,0,-1.3
380,MarJon Beauchamp,MIL,23,4,1,3, 18 ,2,0.8,3.8,20,0.5,2.3,22.2,0,0,0,0.5,2,2.5,2,0.8,0.5,0.5,0.8,10.3,0,0,-3.5
380,Nate Hinton,HOU,24,1,1,0, 7 ,2,1,2,50,0,0,0,0,0,0,0,3,3,1,1,0,1,2,9.1,0,0,-3
380,Seth Curry,DAL,33,7,4,3, 11 ,2,0.9,3.1,27.3,0.3,1.7,16.7,0,0,0,0.1,0.7,0.9,0.1,0.4,0.3,0,1.1,3.7,0,0,-0.6
380,Taze Moore,POR,25,2,0,2, 3 ,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,3.5,0,0,-1
380,Terquavion Smith,PHI,21,4,3,1, 4 ,2,0.5,2.3,22.2,0.5,1.5,33.3,0.5,0.5,100,0,0,0,1.3,0.3,0.8,0,0,5.9,0,0,0.5
380,Troy Brown Jr.,MIN,24,4,3,1, 5 ,2,0.8,2.5,30,0.5,2.3,22.2,0,0,0,0.3,0.8,1,1.3,0.8,0,0,0.3,4.3,0,0,-6
395,Ish Smith,CHA,35,9,1,8, 15 ,1.9,0.9,2.7,33.3,0,0,0,0.1,0.2,50,0.2,1.8,2,2.4,0.6,0.3,0.2,0.8,9.1,0,0,-4.8
396,Leaky Black,CHA,24,7,1,6, 6 ,1.9,0.6,1.3,44.4,0.3,0.6,50,0.4,0.9,50,0.4,0.9,1.3,0.1,0.1,0.1,0.1,0.7,4.3,0,0,-0.7
397,Justin Minaya,POR,24,6,1,5, 13 ,1.8,0.7,2.3,28.6,0.2,1.5,11.1,0.3,0.7,50,0.2,1.2,1.3,0.8,0.3,0.7,0.7,1.2,8.4,0,0,0.3
398,Braxton Key,DEN,26,4,2,2, 4 ,1.8,0.5,1,50,0.3,0.5,50,0.5,0.5,100,0.3,0.8,1,0.5,0.3,0.3,0,0.3,4.2,0,0,2
398,Lamar Stevens,BOS,26,4,3,1, 9 ,1.8,0.5,2.8,18.2,0,0,0,0.8,1,75,0.3,1,1.3,0.3,0.8,0.3,0.3,0.5,4.4,0,0,0.5
400,Boban Marjanovic,HOU,35,3,1,2, 5 ,1.7,0.7,1.7,40,0,0,0,0.3,1,33.3,0.3,1.7,2,0,0.3,0,0,0.3,3.7,0,0,-2
400,Frank Ntilikina,CHA,25,3,0,3, 7 ,1.7,0.3,1.3,25,0.3,1.3,25,0.7,0.7,100,0,0.3,0.3,0.3,0.3,0,0,0.3,2.2,0,0,0.3
400,Juan Toscano-Anderson,SAC,30,3,2,1, 11 ,1.7,0.7,3,22.2,0.3,1,33.3,0,0,0,1,2,3,0.3,0.3,0,0.3,2.3,6.4,0,0,3
400,Nassir Little,PHX,23,3,3,0, 4 ,1.7,0.7,1.3,50,0,0.7,0,0.3,0.3,100,0,0,0,0,0.3,0,0,0,1.3,0,0,-4.3
400,Saben Lee,PHX,24,3,1,2, 5 ,1.7,0.3,1,33.3,0,0.3,0,1,1.3,75,0.7,0.7,1.3,0.3,0.7,0,0.3,0.3,4.1,0,0,-3
400,Zeke Nnaji,DEN,23,6,3,3, 5 ,1.7,0.5,1.5,33.3,0.2,0.5,33.3,0.5,0.7,75,0.3,0.3,0.7,0.5,0.7,0.5,0,1.5,4.1,0,0,-0.8
406,Ibou Badji,POR,21,5,1,4, 14 ,1.6,0.8,1.4,57.1,0,0,0,0,0.4,0,1.4,2.4,3.8,1,0.4,0.4,1.8,1.6,13.9,0,0,-3.6
406,Jericho Sims,NYK,25,5,5,0, 13 ,1.6,0.8,1,80,0,0,0,0,0,0,0.6,2,2.6,0.4,0.4,0.2,1.2,1,9.1,0,0,0.8
408,Anthony Gill,WAS,31,4,0,4, 2 ,1.5,0.5,0.8,66.7,0.5,0.5,100,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0,0,2.5,0,0,2.3
408,Bismack Biyombo,MEM,31,2,2,0, 22 ,1.5,0.5,2,25,0,0,0,0.5,1,50,1,3,4,3,2,0,1.5,2.5,13.3,0,0,-1
408,Davis Bertans,OKC,31,2,2,0, 4 ,1.5,0.5,1,50,0.5,1,50,0,0,0,0,0,0,0.5,0,0.5,0.5,0,5.3,0,0,-3.5
408,Jalen Hood-Schifino,LAL,20,4,1,3, 4 ,1.5,0.5,1.3,40,0,0,0,0.5,0.5,100,0,0.5,0.5,0.5,0.8,0.3,0,0.3,2.9,0,0,1.3
408,Omer Yurtseven,UTA,25,4,4,0, 3 ,1.5,0.8,0.8,100,0,0,0,0,0,0,0.5,1.5,2,0,0.5,0,0,0.3,3.4,0,0,2
408,Seth Lundy,ATL,23,4,0,4, 4 ,1.5,0.3,1.3,20,0.3,0.8,33.3,0.8,1,75,0,1,1,0,0,0,0,0.3,2.7,0,0,1
408,Thanasis Antetokounmpo,MIL,31,4,2,2, 4 ,1.5,0.8,1.3,60,0,0,0,0,0,0,0.3,0,0.3,0.5,0.8,0,0.5,1.3,3.3,0,0,-3.3
415,Colby Jones,SAC,21,3,1,2, 11 ,1.3,0.7,3.7,18.2,0,1.7,0,0,0,0,0.7,1,1.7,2.3,0.3,0.7,0,1.3,8.5,0,0,6.3
415,Wendell Moore Jr.,MIN,22,3,3,0, 3 ,1.3,0.7,0.7,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,4.3,0,0,-4.7
417,Nathan Mensah,CHA,25,10,2,8, 15 ,1.3,0.5,1.3,38.5,0,0,0,0.3,0.4,75,1.8,1.2,3,0.8,0.8,0.1,0.6,3.5,7.4,0,0,-6.6
418,Furkan Korkmaz,PHI,26,7,6,1, 8 ,1.3,0.6,1.7,33.3,0.1,0.6,25,0,0.3,0,0,0.9,0.9,0.7,0.1,0.3,0.1,0.3,4.5,0,0,1
419,Dalano Banton,BOS,24,4,2,2, 8 ,1.3,0.3,2,12.5,0.3,0.8,33.3,0.5,1,50,0.3,0.5,0.8,1.3,0.3,0.8,0.3,1.3,6.8,0,0,2
419,Jay Huff,DEN,26,4,2,2, 4 ,1.3,0.5,1.3,40,0.3,1,25,0,0,0,0,0.3,0.3,0.3,0.3,0,0,1.3,1.7,0,0,-0.8
421,Garrett Temple,TOR,37,6,2,4, 5 ,1.2,0.3,1.5,22.2,0.2,0.8,20,0.3,0.3,100,0.7,0.5,1.2,0.5,0.5,0.2,0,0.5,3.3,0,0,-3
422,AJ Griffin,ATL,20,4,0,4, 3 ,1,0.5,1.8,28.6,0,1.3,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,2.1,0,0,0.5
422,Cole Swider,MIA,24,2,0,2, 5 ,1,0.5,2,25,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,1
422,Gui Santos,GSW,21,2,1,1, 6 ,1,0,2,0,0,1.5,0,1,1,100,0.5,1.5,2,0.5,0,0,0,0,4.2,0,0,-2
422,Hamidou Diallo,WAS,25,2,1,1, 2 ,1,0.5,1,50,0,0,0,0,0,0,1,0,1,0.5,0.5,1,0,0.5,5.5,0,0,2
422,Harry Giles III,BKN,25,2,1,1, 4 ,1,0.5,1.5,33.3,0,0.5,0,0,0,0,0.5,0.5,1,0.5,1,0,0,0,2,0,0,-2.5
422,Javon Freeman-Liberty,TOR,24,2,1,1, 2 ,1,0.5,1.5,33.3,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1.6,0,0,-3.5
422,Justin Holiday,DEN,34,7,4,3, 6 ,1,0.4,1.1,37.5,0.1,0.9,16.7,0,0,0,0,0.3,0.3,0.3,0.1,0.3,0,0.7,2.5,0,0,-0.1
422,Keyontae Johnson,OKC,23,4,4,0, 7 ,1,0.5,1.8,28.6,0,0.3,0,0,0,0,0.5,0.5,1,1,0.8,0,0,0.5,3,0,0,0.8
422,Kira Lewis Jr.,TOR,22,2,1,1, 4 ,1,0,1,0,0,0.5,0,1,1,100,0,1,1,0,0.5,0,0,0.5,1.7,0,0,-3.5
422,Luka Samanic,UTA,24,5,4,1, 4 ,1,0.2,0.6,33.3,0,0.2,0,0.6,0.8,75,0,0.4,0.4,0.2,0.2,0,0,0.6,1.6,0,0,1.8
422,Markieff Morris,DAL,34,2,1,1, 5 ,1,0,0.5,0,0,0,0,1,1,100,0,0.5,0.5,0,0,0,0,0,1.6,0,0,2
422,Yuta Watanabe,PHX,29,3,2,1, 6 ,1,0.3,1,33.3,0,0.7,0,0.3,0.7,50,0,1,1,0,0.3,0,0,1,1.9,0,0,-5
434,Orlando Robinson,MIA,23,4,1,3, 4 ,0.8,0,0.3,0,0,0,0,0.8,1,75,0.3,0.5,0.8,0.8,0,0,0,0.3,2.8,0,0,1.3
435,Johnny Davis,WAS,21,3,0,3, 2 ,0.7,0.3,0.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,2.7
435,Maxwell Lewis,LAL,21,3,1,2, 3 ,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.3
435,Robin Lopez,MIL,35,3,1,2, 3 ,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,1.6,0,0,-0.7
438,Jerome Robinson,GSW,26,3,2,1, 5 ,0.3,0,1.3,0,0,0.7,0,0.3,0.7,50,0,0.3,0.3,0.7,0,0,0,0.3,1.7,0,0,1.3
439,Admiral Schofield,ORL,26,1,0,1, 3 ,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,5
439,Armoni Brooks,BKN,25,1,0,1, 3 ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,4
439,Bones Hyland,LAC,23,2,2,0, 4 ,0,0,2,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0.5,3,0,0,-4
439,E.J. Liddell,NOP,23,4,2,2, 3 ,0,0,0.5,0,0,0.5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.5,0.3,0.3,2.7,0,0,-1
439,Eugene Omoruyi,WAS,26,1,0,1, 4 ,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,5
439,Evan Fournier,NYK,31,1,1,0, 6 ,0,0,4,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,1.2,0,0,-4
439,Hunter Tyson,DEN,23,1,0,1, 7 ,0,0,3,0,0,3,0,0,0,0,0,1,1,0,2,0,0,1,-0.8,0,0,-1
439,Jalen Wilson,BKN,23,1,0,1, 5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,-2
439,James Johnson,IND,36,1,0,1, 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Jermaine Samuels Jr.,HOU,25,1,1,0, 6 ,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,0,0,-5
439,Jordan Walsh,BOS,19,2,2,0, 3 ,0,0,0.5,0,0,0.5,0,0,0,0,0,2.5,2.5,0.5,0,0,0,0,3.8,0,0,0.5
439,Jules Bernard,WAS,24,2,1,1, 3 ,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5
439,Julian Phillips,CHI,20,1,1,0, 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,4
439,Kevon Harris,ORL,26,1,0,1, 3 ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.2,0,0,0
439,Kobe Brown,LAC,24,4,4,0, 4 ,0,0,0.5,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0.3,1.1,0,0,-5.3
439,Luka Garza,MIN,25,2,2,0, 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5
439,Olivier Sarr,OKC,24,1,0,1, 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Pete Nance,CLE,23,2,1,1, 2 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
439,Ryan Arcidiacono,NYK,29,4,4,0, 4 ,0,0,0.5,0,0,0.5,0,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0.8,1.4,0,0,0.5
439,Trey Jemison,WAS,24,2,0,2, 1 ,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.1,0,0,1.5
